id,f_liked_post,f_liked_comment,f_comments,f_posts
R_06CG42nsiYLEn1D,-7039.751054682792,147613.2057086614,164252.9754860524,5049197.615384615
R_11XhwUxcAlfBiUT,-4264.755996280035,188428.1847690387,318309.02316076297,3321118.3
R_11atIFjao9ubP3U,-2767.6559833366928,377802.9016393443,157575.3716295428,1910766.0
R_122PXgLS1mcAwba,332322.11842105264,5066267.333333333,801677.64,723338.6341463415
R_12PxrvkWKCEVBdO,-5242.255297387437,2184716.8775510206,247161.50496838303,47792473.6
R_1DongyY81HpyWOS,-12893.35454596697,989281.8039215687,409538.96515151515,6527260.862068965
R_1F97x2pEYk8nIlB,-6364.377878647997,404144.97347480105,341596.77588306944,4122357.6041666665
R_1FEuJ2n3SqIjzUy,-4038.9600357888457,-23299.0,57183.47197818843,1894592.9270833333
R_1FLGOK2iocfIzZr,-22647.93047248804,660016.3449781659,569833.2572706935,80301011.0
R_1H5ltFuGloJS09W,-24048.837338906305,439439.51851851854,507041.67047619045,3111059.5945945946
R_1JEkCHdDwhAtesN,-4287.112890297989,760215.7407407408,320094.93377483444,-8570.67132867133
R_1LTOBtRC711VrG5,-14516.377468859679,6203715.571428572,1380084.8882681564,21185588.8
R_1LZlS6E9feyUpme,-12540.700133868808,426791.0,523361.36824324325,5645552.357142857
R_1LdMJlMSNSaHH6K,-6451.160931691846,906590.4057971014,434270.18876404496,1634081939
R_1N5j4w4z6s2BgHt,-6887.010489047713,477775.58466453676,69014.93187727508,4670276.266666667
R_1NFF3ZnLvZwp2ho,-1.0029282576866765,1105185.0294117648,1550759.5584415584,1217579.8395061728
R_1OqKJK2CnGyIRp0,-5420.989966147184,654819.1959798995,867043.6459330143,2345342.0694444445
R_1d4x7aJabHIcA2g,-42469.26071080818,310164.76470588235,853825.6138211382,4335478.260869565
R_1d7aAzpVC1BTLkH,-33039.52791068581,610797.6527196653,429360.12139917695,10186245.0
R_1f7SoawyRtU35vl,-11552.866916498511,919484.6694214876,259473.14503816795,-7229.218487394958
R_1f9spW1WMgmtN83,-5833.65865289092,312216.8109589041,3194363.8181818184,10697506.625
R_1gGUnNwuk9tgiVP,-10460.96963946869,-49579.098360655735,148012.61024096387,14478580.142857144
R_1hHkK4czArVlu35,-2025.8164538531455,660644.07860262,1081662.5150214592,4352855.647058823
R_1l3vcDms1XKPffw,-1294.1440888672628,372438.7434554974,563127.6165803109,2095833.0845070423
R_1mOQndBuIwssLWI,-10037.510213852538,574575.1962616822,362884.5150943396,3324509.0
R_1oGWHpMqRNsTZNA,-7465.9205812676955,-204.71107544141253,141200.87272727274,3796377.0444444446
R_1pAs4lX0OzT6rXg,-6783.469811775416,169723.93523600438,102977.0583302953,2798222.6142857145
R_1pJxKgIorhVfahc,-6220.209797130134,513317.98369565216,710544.4701492537,10019927.6
R_22sNEfPgcoozdU3,1345671.5263157894,0,8630888.0,1627936905
R_24GbodB8yAMJZMA,32584.075471698114,858162.4285714285,352740.9423076923,289552.6666666667
R_24itiXcwjPQi9lm,-7931.078143195599,516281.0446735395,201120.59314586993,6665878.0
R_25WJ0CJN3yXcU13,-10870.823199070488,1548854.8351648352,807623.173553719,4119732.0833333335
R_27rO7IKcHCwQWfj,-4512.815583369931,267362.64109589043,531952.7043010753,17344305.2
R_2BwzCQDRMnky8VC,-25353.70024685553,5833291.142857143,5054558.166666667,1616985654
R_2DSaUGNwjrSgYMk,-6332.365383920506,1133120.856,769192.2763636364,-8980.85430463576
R_2EgcjWlJe4ghDGV,-15811.941633377719,317903.84671532846,228765.82661996497,3374887.742857143
R_2Ez0T4XWdDwZLLx,-1316.5356972553802,-13090.68445954143,89674.89835164836,1613859193
R_2EzodmaYdi4UMnL,-11982.483151183971,685838.8786407767,605042.5391498881,7299873.428571428
R_2SAHw9cyS547Me2,-4219.540046960606,4609915.588235294,1184158.2589285714,3145405.904761905
R_2Sf6FBMj8Z9WgPX,-4371.8046901973285,1231737.2735849055,415972.7889908257,7113404.363636363
R_2SizOhIw0onQoRN,-23900.571959502755,1028800.3277310925,219299.30157261796,4236606.760869565
R_2Vf5XTcAavimwe9,-5067.33093974399,2154506.1578947366,5469100.65,11690132.285714285
R_2aCTijBNUL1lWYP,-1.048184818481848,1040066.6923076923,5450864.40625,6156560.821428572
R_2ahs92zJ1xE5SIm,856577.4674796748,8412178.0,1922338.5865384615,-257926.191740413
R_2fk7P6uI9MaXlis,-6123.493000636306,1101296.8536585367,658587.3021276596,1261244.6
R_2fk85QtiMmN2NEs,-6185.49296112622,256865.6324951644,236407.90391791044,13874039.5
R_2fvsKU57wqfuw5f,-12941.522182254197,2084687.7826086956,1797098.0289855073,18150947.666666668
R_2pYIMQA5TBYwDOn,-12441.38027015964,539500.4351464435,433095.98455598456,15954758.666666666
R_2s5855p14qHOPT7,-1.002469135802469,3354430.8,1205764.2030075188,2334906.0
R_2tn8YdhPqgVtbrj,-23677.62718224833,-1.0,4558187.4,-492.8019801980198
R_2v7AXjA8kzSg7kq,-2445.035576548845,1311987.9807692308,1258204.7254901961,4927311.852941177
R_2wmXu3tARhAjLJE,-11788.006398125619,246265.63747810858,274471.0893743794,7222363.25
R_2wn9TkHpPWgw2UY,-3808.5368459837878,238194.88950276244,1535951.3148148148,4475966.1875
R_2xRHgdcgFQz7nFR,-11627.331488494028,-2.7271157167530227,171987.1638837353,4496193.62
R_2xXgWBKTdnS6SzY,-4949.2440818358755,950729.963768116,486404.8325581395,2446198.604651163
R_2zSAt0LCVeVitw7,-1790.865073014603,375318.63302752294,445168.3793103448,2185576.470588235
R_2zTtZT55KxofdRj,46764.49411764706,31973.714285714286,270010.8,505798.0
R_30c953t9XwRVF45,-16420.482018871284,634997.510989011,851147.5669291338,3110134.1428571427
R_32612mE920eA2vT,-7001.453883141483,-1.0,121625.9068627451,3895673.945945946
R_332y1JWpvRKxcz0,-12425.54758300535,341581.6391509434,259189.73775671405,1668936.2222222222
R_33EJMIsMApMjweM,-1985.7882398927854,886405.7479674796,903839.956043956,2629702.7391304346
R_33a3wpGzOTwyQ8g,-73.10301953818828,2022731.0,1036369.2311111111,5040870.083333333
R_33jn7u0AkGbZp94,-29965.287572815534,479648.37078651687,760961.038585209,5926873.285714285
R_33p8Z2e5eZp38OQ,3828515.411764706,168639.71215880892,199960.34523809524,791398.05
R_3Em84fxULORLo6I.zip,-38.31528895391368,4908247.75,5269622.6,12216937.714285715
R_3F3rY9y9D0ZRyZu,-8943.97095031441,-26.75,123445.16694490818,5222845.571428572
R_3GrMwBz61QxQpSj,-4155.91622703633,179836.86358381502,243972.19692603266,2652614.4
R_3Hpn11djC1mu3Yp,-2684.264818601462,-7415.167688494652,157502.23663101604,25300608.57142857
R_3JIu4RwDySJQouH,-4451.203884281894,-22600.892867291845,123679.88025210085,5236189.117647059
